time,day_of_week,city,country,channel,status,game,avg_ccu,preliminary_tag
8/23/2016 16:25,2,Boardman,US,anniebot,Annie Bot |,League of Legends,1096,community
8/21/2016 23:30,0,Boardman,US,teddy_recks,Quarter-Finals 3v3 1nD GB + Semi-Finals 3v3 1nD UMG Tourney  #TeddyBears #LokiGang,Call of Duty: Black Ops III,1087,community
6/5/2016 4:16,0,Boardman,US,mod_matq,[Rs3/OSRS] Double Xp live now!,RuneScape,1083,community
6/4/2016 13:10,6,Boardman,US,wingsofdeath,HORDE STREAM! SMOrc I'm a BULLY beating up kids and stealing their triforce lunch money!,League of Legends,1080,community
6/2/2016 19:16,4,Boardman,US,ireliacarriesu,Irelia Carries U TRINITY BUFFS DYNAMIC Q WITH SUBS FIORA IF IRELIA BANNED,League of Legends,1073,community
9/2/2016 12:39,5,Boardman,US,flosd,boxbox - SAFE PLAYS TODAY watch out for exciting bursts of nonaggression,League of Legends,1070,community
7/18/2016 8:04,1,San Francisco,US,bigfoltz,1000 NUCLEARS IN ONE STREAM! [682/1000] w/ DooM @ShelbyRenae,Call of Duty: Black Ops III,1068,community
7/17/2016 4:48,0,Boardman,US,bigfoltz,1000 NUCLEARS IN ONE STREAM! [650/1000] w/ DooM @iGhostNinja,Call of Duty: Black Ops III,1067,community
7/24/2016 9:44,0,San Francisco,US,snarfybobo,FTL Hard is a Mario | #SnarfWeekend #SnarfJuly,FTL: Faster Than Light,1067,community
6/21/2016 21:16,2,Boardman,US,jagex_keira,OSRS First Doule exp Event!!,,1063,community
7/4/2016 1:43,1,Boardman,US,x_emily_isprox,I Quit Runescape!,,1047,community
7/25/2016 11:46,1,Boardman,US,djarii,djarii <Method> | BIRTHDAY STREAM! FeelsBirthdayMan ft Sco!,Gaming Talk Shows,1042,community
8/13/2016 22:24,6,Boardman,US,teddy_recks,R1 3v3 1nD GB No Vespers Tourney + R2 2v2 1nD UMG Tourney  #TeddyBears #LokiGang,Call of Duty: Black Ops III,1041,community
8/28/2016 8:11,0,Boardman,US,esl_overwatch,RERUN: B.Fly vs Northern Gaming Blue - Atlantic Showdown EU Qualifier #1 - Ro64,Overwatch,1037,non_community
6/28/2016 6:28,2,San Francisco,US,yougotlittup,Telos | !sunspear | !guthixstaff,RuneScape,1030,community
6/21/2016 3:00,2,Boardman,US,bigfoltz,1000 Nuclears in ONE Stream [14/1000] w/ DooM @Garge0,Call of Duty: Black Ops III,1027,community
8/24/2016 12:48,3,Boardman,US,esl_overwatch,RERUN: Rogue vs compLexity - Overwatch Atlantic Showdown - EU Regional Finals - Group B Decider,Overwatch,1003,non_community
8/14/2016 3:31,0,Boardman,US,emliylsipro,I'm Leaving Runescape!,,996,community
6/20/2016 1:18,1,Boardman,US,runescape_idi,[OSRS]  Double XP is finally out! 5x for DeadMan Mode!,RuneScape,996,community
8/3/2016 20:54,3,Boardman,US,teddy_recks,2v2 1nD UMG Tourney #TeddyBears #LokiGang,Call of Duty: Black Ops III,992,community
8/5/2016 5:01,5,Boardman,US,deadpoolyplays,Legit Gameplay @Farms Shopping Center Tulsa | Sub Goal! : 457/500,Pokémon Go,989,community
6/21/2016 21:22,2,Boardman,US,teddy_recks,3v3 1nD UMG Tourney  #RoadToSubButton #TeddyBears,Call of Duty: Black Ops III,979,community
6/27/2016 18:05,1,San Francisco,US,b0atyvy,"B0aty, Last Stream, Quitting",RuneScape,979,community
7/28/2016 12:08,4,San Francisco,US,sovietwomble,Successful mining operations on Minus,Kerbal Space Program,971,community
7/12/2016 13:05,2,Boardman,US,steel_tv,games with big mOE | @JoshNissan,Counter-Strike: Global Offensive,960,community
7/18/2016 19:43,1,San Francisco,US,iateyourpie,$10 Mario Maker Money Matches w/ Usedpizza - http://www.streambig.net/mmm-s2.html,Super Mario Maker,957,community
8/18/2016 16:06,4,Boardman,US,wizardworldcreative,Live Ambidextrous #Painting Demo with Rob Prior,Creative,951,community
8/6/2016 18:28,6,Boardman,US,slyfoxhound,(งツ)ว Learning SOTC for Speed Runs (งツ)ว,Shadow of the Colossus,944,community
6/9/2016 11:37,4,Boardman,US,cincinbear,CSGO is down. Its ok Overwatch is better anyyways,Overwatch,940,community
6/6/2016 13:50,1,Boardman,US,callofduty,H2k vs Team eLevate - North American Pro Division Live Stream - Official Call of Duty® World League,Call of Duty: Black Ops III,938,non_community
8/23/2016 22:54,2,Boardman,US,teddy_recks,R2 3v3 1nD UMG + Finals 4v4 1nD GB Tourney #TeddyBears #LokiGang,Call of Duty: Black Ops III,931,community
6/26/2016 3:55,0,San Francisco,US,eggnetwork,Fnatic vs Execration TIEBREAKER The International 6 SEA Regional Qualifiers Danelie & Lysander,Dota 2,920,non_community
8/11/2016 7:29,4,Boardman,US,deadpoolyplays,Demon Hunter First Look | Sub Goal! : 515/1000,World of Warcraft,912,community
6/8/2016 19:02,3,Boardman,US,heyimbee,chill chat chillllllllllllllll,Counter-Strike: Global Offensive,908,community
8/21/2016 20:30,0,Boardman,US,sparcimac_lived,I'm leaving Runescape!,RuneScape,905,community
7/3/2016 9:23,0,San Francisco,US,raszi,ITM $109 kick-off $20k 1st,Poker,894,community
8/27/2016 16:12,6,Boardman,US,kaceytron,mystery stream,Gaming Talk Shows,889,community
7/14/2016 15:09,4,San Francisco,US,nvidia,World of Swifty | 3PM - 6PM PT | Team NVIDIA,Gaming Talk Shows,881,community
9/19/2016 14:48,1,Boardman,US,b0aty_r,B0aty Quitting. Check forum post below stream,RuneScape,876,community
8/26/2016 23:12,5,Boardman,US,illeyy,{Finals} 2v2 $1500 Prime w/ @iLLeY,Call of Duty: Black Ops III,875,community
6/12/2016 17:37,0,Boardman,US,mod_jayk,Read the welcome panel below for instructions to activate double XP on your account!,RuneScape,872,community
8/12/2016 15:36,5,Boardman,US,kronovi,iBP Kronovi - Warming up | Batmobile?,Rocket League,869,community
9/10/2016 2:32,6,Boardman,US,frenzy,DLC 4 Round 155+ - Birthday Stream - Twitter: @Frenzy,Call of Duty: Black Ops III,866,community
9/8/2016 16:11,4,Boardman,US,stpeach,uf351uf351uf351 & Stream! | Type !stream for schedule information,Social Eating,863,community
8/29/2016 10:20,1,Boardman,US,esl_overwatch,RERUN: Team EnVyUs vs Selfless - Atlantic Showdown NA Qualifier #1 - Quarterfinal,Overwatch,857,non_community
7/19/2016 20:33,2,Boardman,US,bloopedd,ADD (DROL) XB1,Minecraft,849,community
8/9/2016 23:21,2,Boardman,US,lemilyislpro2016,I'm Leaving Runescape!,,848,community
6/30/2016 13:13,4,Boardman,US,wingsofdeath,MASS UNBAN OH GOD!,League of Legends,841,community
7/21/2016 21:49,4,San Francisco,US,zeroxmercy,12hr STREAM!!! 200k Kill Grind w/ Subs !Giveaway @275 Subs,Call of Duty: Black Ops III,835,community
8/3/2016 2:28,3,Boardman,US,alaskansavage,!Shirt | Near Death (PC),Games + Demos,832,community
